# Constructed from biom file
#OTU ID	MM933M	MM936M	MM941M	MM943M	MM9362CU	MMS700	MMS701	MMS702	MMS703	MMS704	MMS705	MMS706	MMS707	MMS708	MMS709	MMS710	MMS711	MMS712	MMS713	MMS714	MMS715	MMS716	MMS717	MMS890	MMS891	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS908	MMS909	MMS910	MMS911	MMS912	MMS913	MMS914	MMS915	MMS916	MMS917	MMS918	MMS919	MMS920	MMS921	MMS922	MMS923	MMS924	MMS925	MMS928	MMS929	MMS930	MMS931	MMS932	MMS938	MMS939	MMS942	MMS943	MMS944
No blast hit;Other;Other;Other;Other	0.18021657098442198	0.22834715946061104	0.2303439819261001	0.20516810326680707	0.2014098122854522	0.24088750570172027	0.2219500936164615	0.22449139473270888	0.22897249446084528	0.2386658374341558	0.2361814738815885	0.23354639766407187	0.22840986435974267	0.2441288966569412	0.2566676272315677	0.21108521260546675	0.2299225647183323	0.23272325570217758	0.25297617250898835	0.24038103037094602	0.22883475306395418	0.24281608833179671	0.21352037156636902	0.21167885526944777	0.18739193209664137	0.2093219516925992	0.26357656297361753	0.20099096719305723	0.20252621036781399	0.18456925338021765	0.20754856505389713	0.2368455008063501	0.21040948467784912	0.22181401471911194	0.22024733057310972	0.20512408938961102	0.21671123457433722	0.2220432522274042	0.2080988553788816	0.23096707833004387	0.19937783669876022	0.20920381533795024	0.2524675680330795	0.17424236734228613	0.20265111141456538	0.2471509657930516	0.24572256440495596	0.22217412949503612	0.2599557386478614	0.23197405943562444	0.22954934759735948	0.23286205848775815	0.22970586467187099	0.209684595274865	0.20083864162140952	0.217583632031804	0.2062070215870903	0.19434434066005615	0.2167124525355988	0.22610409214874935	0.2379691854854792
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Ambisporaceae	0.023592406988118344	0.026178933644657062	0.017280181033817312	0.027502433552016346	0.030111400175440492	0.019970961293622903	0.019601144059307775	0.026780658398449047	0.031142317106170696	0.0263642076713742	0.02795429595982267	0.02504948223289178	0.023334361353239092	0.019176957826187332	0.02614939410018421	0.02176699384938579	0.021636092028446907	0.024617091440586797	0.025659741433809388	0.031079911127600696	0.023333766529491592	0.02429153485414426	0.030434534333586966	0.03887264870990061	0.02606480941706595	0.02529205559530035	0.01506001633990148	0.024522370365404413	0.029102339258411075	0.027432175214181766	0.02697799295717713	0.0327886959237769	0.02346216771491031	0.030594392172273416	0.029596267754907986	0.01857111185612941	0.025467948436928206	0.03774756662784322	0.03624899489317982	0.025998185388936338	0.017933828157452168	0.025804647972949343	0.018695858856195197	0.019733675990563106	0.020184156850920315	0.026783101807721924	0.02176749508364481	0.033484072015581214	0.0226088875163246	0.025557735792473783	0.026526327587733205	0.025597195652822056	0.03611904868881375	0.03739754652611494	0.02542403770081624	0.030978154845679447	0.03261722614133911	0.044173509093171553	0.027387961762386635	0.027264120859783553	0.02940711979137493
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae	0.14610868225872	0.07926672580412852	0.05827901729707165	0.10801600764788111	0.06056935547600288	0.08744373737999847	0.07178999883864776	0.07298841662564276	0.053969330682948756	0.08149443460633761	0.06395474826075183	0.06358265681061173	0.06313783125054838	0.08542384920656593	0.08357635747034851	0.07807726161899829	0.0808125597082541	0.05443542879707498	0.07904329475078473	0.07101247738947966	0.0773865753391601	0.058927937842277726	0.07445338726588328	0.06787817901326919	0.07441176100070065	0.07495714703538837	0.07675166642759688	0.07391414168755872	0.061262140532574505	0.07125182077662164	0.07694998665195131	0.09375470345586244	0.08822809778321543	0.0811727547025659	0.04967887636442879	0.05416373050182508	0.05832592513116881	0.06856895050778465	0.05754072918972869	0.06721760583518024	0.07467363252402157	0.0683088916051589	0.08635153052862579	0.08358445750848727	0.07141704919396882	0.06403262178134815	0.06652460765010941	0.08107529333523351	0.07293610504834007	0.07680601503708209	0.08767035756857239	0.08713967963911241	0.07619866511973271	0.07124007294025118	0.06458355220418131	0.07004526797247651	0.06325518183997843	0.06657588446629616	0.07541815725707571	0.07809145989450836	0.06757383739084498
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Geosiphonaceae	0.007468116176585651	0.0010650207065107191	0.0022041969653765333	0.007449603466041477	0.00026206912071513274	0.0006049410292208176	0.005763378049136801	0.002156666685909585	0.0008726126701675075	0.0024192991851503054	0.0038315866227280554	0.00417270759587458	0.003084251095472748	0.0010922765769418262	0.003748302543075038	0.00506333734265548	0.004021309181515136	0.0004730794406241473	0.0014195913116001938	0.0025454707628725947	0.0018766269026722303	0.0035593084445135702	0.0006625707030838034	0.00475261866278031	0.0020120255675839787	0.005144529456299634	0.0007828664287507346	0.00030251619612052505	0.0014460192434915392	0.0003730646046180063	0.004722530022525971	0.0020886875496171123	0.0005031573636212188	0.006035437853645522	0.003594365973969374	0.0006893468999920893	0.0006147995419007895	0.0024580157397508192	0.00033534820188816934	0.0003746419807581638	0.004492316776242874	0.0020354104353137057	0.0008937348595339051	0.0006193351550493166	0.0035834708660327495	0.0005742410948919717	0.0	0.0016126549807610091	0.0003510606321931078	0.0036605343886633125	0.0037808827763173582	0.0029269041528756593	0.004153790987632616	0.0020546710494388385	0.0006838418641149721	0.0060033790587891095	0.004217742331067947	0.0008140962245504782	0.004025463309571966	0.00418533566256797	0.002390886469662453
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae	0.01339330561749078	0.013059943079966215	0.027444005670006925	0.041160199379034916	0.014176788633451152	0.021820386530885756	0.027722895274412906	0.019864285667363327	0.015914413195497062	0.01807672808185435	0.017473991018362726	0.005407193238507059	0.005627743944769783	0.011592200087585613	0.009534511831150401	0.03430059360492976	0.022464901203353146	0.013799006158002966	0.01802799871972777	0.00805457814205895	0.006133959294826395	0.012615542039965136	0.008242301825458927	0.009060916776584273	0.013315428370156566	0.011910323658505953	0.007663790427691041	0.0056142089207960435	0.018527396911939612	0.009766944274794201	0.0026027763980471415	0.008781372987384564	0.014371062749217844	0.007615288429970886	0.016106400681471504	0.005514775199936713	0.01159074983926113	0.023318927337472938	0.008600241173159726	0.019361345478429624	0.01480454782426033	0.007035361729823139	0.010891507883501508	0.034512968484164935	0.026696935188577874	0.009711436476948731	0.02346295346044925	0.008520374329010498	0.008276928392255736	0.03415490693932733	0.0165638036367117	0.011996670070322244	0.01636701082347622	0.006532066002733151	0.006934686080242879	0.009729253758688234	0.008394117454630083	0.009620528834954126	0.009484883477822286	0.023549790395174863	0.009752540410587495
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae	0.023802482772275417	0.017707856316277873	0.017271958636148717	0.024709855534826474	0.016852820558103273	0.018875462495344837	0.012042715656958232	0.02545372313647098	0.013543187094227683	0.0118791142158195	0.03397604521497353	0.015436266664663818	0.016474371444611658	0.018352446186526816	0.016137490336920957	0.02280218323498286	0.02580450125758388	0.017317494516787463	0.011416064093479984	0.020844367153009802	0.03245511924111452	0.01840246378782738	0.02820556358611589	0.016497237616164537	0.024080388696538016	0.03224226714870199	0.021123660859508394	0.025129145511977466	0.013784687485627682	0.023359662387579923	0.018159813959501225	0.014997089316312502	0.01822933321099565	0.01622670693284351	0.016294300600249608	0.01904690352339302	0.02072611530729246	0.01762483883785927	0.01159141730173208	0.01394197643047284	0.03179614078948424	0.03296792149931149	0.01872432890078323	0.03153181716102098	0.020565376279373347	0.023892621549629414	0.02216243119101361	0.022271303025984516	0.031166578362872104	0.026089647223284895	0.01758345568698361	0.017488685787894816	0.014329712983834998	0.013278725674928136	0.020305461515536794	0.015354119849514136	0.016787299611460388	0.015003072897299035	0.03276590842609878	0.013398388891789372	0.02330235105085696
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae	0.09440431579067374	0.09951085934400436	0.09086054544097172	0.0868479324482533	0.10683616482150803	0.09788998680325382	0.0945667632599145	0.09933718430582066	0.1259480245208047	0.11408762451357443	0.11594180148229664	0.11898474315325518	0.13693609814869342	0.0944370675100453	0.07628786970833179	0.10775829731150167	0.09811411464126157	0.11078368013377553	0.1008875748015595	0.12321790500230086	0.10993907329279287	0.11267027501021909	0.10151915221174797	0.10202557439782671	0.11125391699252082	0.11615867312569415	0.12439614898055604	0.1375691335811555	0.130835051115698	0.12452131797448422	0.1294850487253265	0.09607159386873482	0.11208054930950478	0.09832959195967689	0.13367548881713187	0.13893408962966303	0.12861960165636288	0.1037083375995773	0.10737253128943137	0.10109292450470185	0.13258570623316562	0.10134468141099857	0.10245276000877235	0.11245581223323273	0.1207301683614444	0.09682092462085025	0.09670129258822943	0.08372504869127359	0.1002209410419772	0.08401794431996588	0.09634459615112323	0.09556494303828385	0.09317540349882408	0.10155696283465647	0.11234410142171362	0.0969983322555245	0.13868442521482183	0.10898681837386398	0.0945866824777032	0.10290778101338233	0.1131381608301211
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae	0.38615651250033767	0.43172048729706775	0.46480515612094353	0.3763236758138738	0.4175851215041399	0.3993417300002962	0.37317323031897953	0.36398514937713566	0.43871121320200857	0.3782883970323635	0.39719269383838324	0.41469968756654413	0.4189757228139377	0.3752701093912616	0.4133217359650197	0.3904495924129845	0.3661435223722745	0.46626818934519193	0.35969947049199064	0.3911844967417641	0.4267221061297944	0.4119418865148124	0.40822472826559153	0.4190665751081119	0.4368723649102057	0.3691009264053782	0.39797596006672287	0.4345793384089262	0.41658440983614065	0.43002919257126	0.41684102949292573	0.39310332192761055	0.411448220553903	0.4142145442932136	0.43369391231997384	0.47595946408321643	0.43718608296668837	0.38842274087163353	0.4405463147566879	0.4265308527138859	0.42535686662475786	0.4376112208507612	0.41575329333701627	0.43463676828278636	0.41619983815320744	0.4031606432090087	0.3818844724119168	0.4164544392190402	0.3862072178285012	0.3490911722402905	0.38154269003788766	0.4035405136862697	0.4123382102666546	0.4284642118333145	0.44146532335353733	0.4182917943943703	0.41788313508081304	0.41659441861289515	0.40007883112060677	0.4260196004268348	0.3930892362593288
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae	0.12485760691137637	0.10314301434677559	0.09151095690956403	0.12282218889126566	0.15219646742518722	0.11316528876565679	0.17338978092618199	0.16494252107049812	0.09092640706733059	0.12872435725936984	0.10349336372109291	0.1191208650735804	0.10401975558898505	0.15052619655794494	0.11457671081340194	0.1286965280190948	0.15108043488897846	0.07958277446577797	0.1508700918880596	0.11167976330996751	0.09331802020619419	0.11477496317444383	0.13473739024216214	0.13016739444591335	0.12459737294858572	0.15587212588213253	0.09266932749565569	0.09737817813500371	0.125931745248302	0.12869656881624236	0.11671225673864785	0.12156903416435069	0.1212679266367829	0.12399726893669787	0.09711305691475663	0.08199648891623425	0.10075754254606044	0.13610737025067415	0.12966556781531105	0.11451538933759056	0.09897912437185527	0.11568804915773298	0.09376941759249213	0.10868279784240902	0.1179718936919091	0.12787344366654832	0.14177418320968066	0.13068268490808047	0.11827654252967401	0.16864798462328776	0.14043853895731132	0.12288334948466226	0.1176122929591595	0.12979114786369753	0.1274203542384475	0.13501606583315393	0.11195385073879907	0.14388733083691327	0.1395396596331351	0.09847943070721017	0.12337668231174426
