samples	NMDS1	NMDS2	NMDS3
MMS930	-0.27338830588866025	0.43374735763968003	0.403003176573616
MMS925	0.5267201286953174	0.5267800831957645	-0.26626554728599044
MMS911	-1.0053719059932384	-0.7280027229443812	-0.16273843247330386
MMS920	0.25970783227001476	-0.025220580691533084	-0.5204140616225124
MM933M	1.1240086134525298	-0.5169988125683052	1.9088982805719603
MMS922	0.39555659998245035	0.36933681561197873	-0.31252552806906475
MMS910	-1.441797619750015	-0.6614756211910997	0.2985082599451419
MMS923	0.3736816836630767	0.2110113246108778	-0.5602229060543523
MMS715	-1.074641296834123	-0.563598384041386	-0.8268447088561539
MMS714	-0.14261134731269787	-0.6613197934043072	-1.0261908402520872
MMS717	-0.00655374448206551	0.19529552354357696	-0.008881662632731149
MMS716	-0.8060173321554905	0.4876976937562637	-0.42595264017811546
MMS711	0.756482803612032	0.305193594036134	-0.294318797653564
MMS710	0.7578453539571747	0.34558720317359815	-0.00402337938062137
MMS713	0.7117315215861744	0.9086557085261487	-0.5638989814583123
MMS712	-1.7372768828508276	-1.0817268646401252	0.46171897202680906
MMS944	-0.18740124030253427	0.18958114750203303	0.221604972261112
MMS921	0.5405409883428108	0.6281945113321624	-1.0552317247550589
MMS942	-0.3193349164104549	0.504794311336632	0.7380951191647402
MMS943	-0.8330227321852932	-0.69934511321934	0.849434140957766
MMS908	-0.0847966663506944	0.5030247695322412	-0.0048167133783992185
MMS909	-1.287730539538344	-0.2878003730050528	0.5542076150784838
MMS928	0.24552024940805986	0.07702780414681255	0.332266698265575
MMS929	-0.03347403842664025	0.28953484423778264	0.316699983208133
MMS900	0.25967906678666725	1.1576885422621572	-0.05860903275656608
MMS901	-1.0306565741030422	0.20455302705654954	-0.5862088921807695
MMS902	-1.0782048849089079	0.09632196049963929	-0.053334039347115364
MMS903	-0.5874940481992418	0.4033188663152324	0.12777691495674728
MMS904	-0.35849053892781646	0.3282465412826094	0.046435514728180985
MMS905	-0.3415740895704983	0.09612803777893215	-0.13328394177680242
MMS906	0.31726797752124375	0.6773697097579997	0.2793724359015571
MMS907	0.3171087359584364	0.4481062617646093	0.16950501821571154
MMS919	0.2302742141264329	-0.09203705682089014	-0.08594127045831801
MM943M	1.3297967389384453	-1.4161611272967314	1.409440811288481
MM941M	1.4147223398007946	-1.7938449485018064	0.27711669988774607
MM936M	1.0144293912773656	-1.1999977790186382	0.5313832524148663
MMS706	-0.6984824608677707	0.5455483044250473	-0.02674720928702511
MMS707	-1.4695063271404707	0.26918846751687653	-0.304091155646509
MMS704	0.39563717786019137	-0.12156194356510737	0.11719123195403987
MMS705	-0.05981219983049674	-0.5201259543447512	-0.32208513639781905
MMS702	1.090146689643037	0.510541183392508	-0.06864993370815566
MMS703	-1.3720003310015256	-0.7051746102693737	0.3164677276944406
MMS700	0.9089790005767455	-0.23778742492502625	-0.3269816362350215
MMS701	1.0231079712445867	0.7860175690533628	0.12445278470020607
MMS708	0.98323954046166	0.16179676243840022	0.183670677442614
MMS709	0.5743740148472418	-0.16318386498679827	-0.7337019863122421
MMS917	-0.14037095630205443	-1.5875468046856331	-1.6917005798140319
MMS939	-0.10442524720814238	0.1361328613684563	0.16496962312580926
MMS938	-0.4730937626277639	0.02571286820085883	0.22512490681936467
MMS916	-0.10256846886625504	0.0411435981199167	-0.07187857709554196
MMS931	-0.25480825611720476	0.10060007766570145	0.6417664420488524
MMS915	-0.31419636550690566	-0.7667669138118546	-0.016575994095891278
MMS932	-0.19678660397254882	0.2917712586468916	0.43084802940886985
MMS918	1.5271541916641298	-1.5003740576457119	-1.3007390732048454
MMS914	-0.24276265040891495	0.49483252160364827	-0.8420014553365807
MM9362CU	0.12310719267687437	0.4376800673137987	0.9930840657077904
MMS913	-0.10033966026107198	0.229471013644071	-0.12112460398677777
MMS890	-0.11092388575615018	0.38339027282049587	0.2933438128182724
MMS891	-0.2659505575403489	0.6793387677324216	0.44368105074132946
MMS924	0.9769707379738939	0.6476591216057008	-0.16369889056354045
MMS912	0.35807568127082595	0.20203039713027807	0.07961111434560318

stress	0.14016312458806998	0	0
% variation explained	0	0	0	
