samples	NMDS1	NMDS2	NMDS3
MMS930	-0.4454595486478334	-0.4695306652006617	-0.4071509282694687
MMS925	0.20545638365356192	-0.5728947330020724	0.46755252363149036
MMS911	-0.6477055886571341	0.852942665041999	-0.2710683776742534
MMS920	0.10746190544941267	-0.1973246557390533	0.8269599182690376
MM933M	1.461204279768728	-0.9409008051703674	-1.8096158700627851
MMS922	0.23687973988495029	-0.23746270707846215	0.4989103706730068
MMS910	-1.0735806817644356	0.6545092602615392	-0.7322961483522997
MMS923	0.07404087954964382	-0.1441025424999672	0.6687285943174043
MMS715	-0.7767197786220853	0.9985983519215019	0.3466474279355828
MMS714	0.10747829764040097	0.7289939771117424	0.41531622438235216
MMS717	-0.18737320987033793	-0.38096948560035315	0.13675510814116176
MMS716	-0.38602435379055744	0.22577792155652565	0.18356599923943237
MMS711	0.48229829373101996	-0.35612567022972286	0.4176940860197618
MMS710	0.549551737993608	0.010262165201240502	0.6024959681672167
MMS713	0.14824192681165807	0.0829995266127756	0.6463337653908108
MMS712	-1.017098529857869	1.0606422777627436	-0.7665590086220896
MMS944	-0.48105102893540613	-0.6154340937171422	-0.2674814775666956
MMS921	0.31507460420903577	-0.14055573457400297	0.6927864010210587
MMS942	-0.8450739642208407	-0.9960737566687065	-0.29346658567393047
MMS943	-0.5520198478751334	0.43044431604808864	-1.132490025959417
MMS908	-0.33931729941494293	-0.46462070851997905	0.1643946033143428
MMS909	-0.9767695546646196	0.3483047690329381	-0.5332403601702825
MMS928	-0.02352034272494408	-0.6543472818186935	-0.1504707441540962
MMS929	-0.21551377882319409	-0.22620358592359557	-0.19192105284826141
MMS900	-0.4442243704402961	-0.552798825402592	0.883272234392803
MMS901	-1.1100793101606818	0.26727958719756956	0.5861705188411509
MMS902	-0.7930577217891265	0.35438000740902115	-0.0407647175005473
MMS903	-0.3248687722710719	0.06610719423654256	-0.02907846318681301
MMS904	-0.488871551338644	-0.13961932455863102	0.09952991962519242
MMS905	-0.20106100375054506	0.10377214997855955	0.033609544016854835
MMS906	-0.1385755305668019	-0.8129524635186763	0.19382567841235368
MMS907	0.045570989999474565	-0.3400412120975083	0.15136158294887023
MMS919	0.17839891727086915	0.024207092273605783	0.051555527017196644
MM943M	2.6799286729431477	0.04846929272261649	-1.0282414151431072
MM941M	1.875261993812985	1.4920472972424452	-0.8770056232466179
MM936M	1.5332499607650698	0.6715337937027885	-1.3661822901158895
MMS706	-0.631113278247978	0.07272759426094479	0.17888017627844938
MMS707	-1.153691612902338	0.501930334920449	0.24716519887110064
MMS704	0.425676051636304	-0.6952333695923866	-0.38643086132322807
MMS705	0.28517002257301993	0.705824367282002	-0.24073066498011653
MMS702	0.71359219841902	-0.647272210488194	0.6852668190140067
MMS703	-1.203209816467771	0.7568408782430746	-1.0172753854847547
MMS700	0.8569094911073348	-0.013503530881805786	0.3071053228877422
MMS701	0.6811862475708511	-0.7387661566008107	0.4117741364877455
MMS708	0.9882431924433985	-1.473031841346458	0.23771368383774527
MMS709	0.2824310590474663	0.0865715911702766	0.16686938802966061
MMS917	0.4457880501314667	2.6564230353258	1.0297174192900829
MMS939	-0.42236649660695214	-0.6002738441645619	-0.012060770669371897
MMS938	-0.8634967681998535	-0.23257132144052325	-0.499830348335407
MMS916	-0.07015555766240922	-0.0054626948250666805	0.05634852107374473
MMS931	-0.2909681019367573	-0.21512735885499143	-0.6106262595284735
MMS915	-0.11022152861068713	0.6905274677547092	-0.24937791968231104
MMS932	-0.353930561150013	-0.6465946926797612	-0.4631712853225051
MMS918	1.949172828563995	1.4312456459077552	1.2067767232112765
MMS914	-0.30099320871726887	0.3699389703815713	0.6534604199682634
MM9362CU	0.1641257077930638	-0.278391384607321	-0.576032152150026
MMS913	-0.10142370636337816	-0.04774336072653593	0.017250392333784163
MMS890	-0.24257329142491257	-0.35985394338034493	-0.23202550687622395
MMS891	-0.41473392616965077	-0.38351865078872427	-0.02374991000115732
MMS924	0.6226429079073103	-0.929585669318905	0.9747483743451355
MMS912	0.2118072819696717	-0.1844132495442486	-0.03219841848568884

stress	0.13713548569355194	0	0
% variation explained	0	0	0	
