pc vector number	NMDS1	NMDS2	NMDS3
MMS930	-0.30365808947480327	-0.5934611463931901	-0.3547756125198997
MMS925	0.4025326256665523	-0.5035887185811614	0.46946823062486576
MMS911	-0.9862161989920775	0.7433363053528731	-0.13162520050585128
MMS920	0.19839455196155062	0.20243175058024487	0.5495195733154541
MM933M	1.4008222977151537	-0.253001202396831	-1.9282264261559836
MMS922	0.29257769240531833	-0.1958434612876104	0.3589962397104572
MMS910	-1.3713187245007714	0.5781313858958197	-0.603923591271331
MMS923	0.23512810955930305	0.01645562521108465	0.5385341941348879
MMS715	-1.1184329194483573	0.7259964327272447	0.6543890218666449
MMS714	-0.17355299357069418	0.900761145094859	0.6970799633047384
MMS717	-0.027679946523321237	-0.26074959630976013	-0.00982671910451548
MMS716	-0.6453553314840911	-0.0055701008194804415	0.29351115534337907
MMS711	0.5879185618434494	-0.23694429411199197	0.498674061582398
MMS710	0.5712458382763893	-0.1217547336386033	0.4080855664722796
MMS713	0.2887749746603178	-0.4477242657738846	0.914618779927953
MMS712	-1.609253889341844	0.9478979692625303	-0.7170659682106438
MMS944	-0.29580491408018095	-0.5470348126883956	-0.2088382436225984
MMS921	0.2768060391030441	-0.0035324866084810265	0.9466757408331139
MMS942	-0.40582213433146397	-1.0933960859419103	-0.49948893768669667
MMS943	-0.7846065190661994	0.431827307214731	-1.0701603536153363
MMS908	-0.09528840191299821	-0.4637307149236098	-0.0016393971481470596
MMS909	-1.2382689943120055	0.13375652694787216	-0.6157517540025609
MMS928	0.2912431720548793	-0.44506514283639176	-0.26802601670294496
MMS929	-0.049043774528682756	-0.31633315718784216	-0.14131692417002945
MMS900	0.07726760593823678	-0.9343901960931502	0.600602813021866
MMS901	-1.1656899090856483	-0.259179640183381	0.5971213507982168
MMS902	-0.9799470695113592	0.051571805276711534	0.00983735555480695
MMS903	-0.4207729652457951	-0.10911709668658433	0.04519484043559452
MMS904	-0.2839561856681244	-0.17799030207077055	-0.07921750462618571
MMS905	-0.2183208581231048	0.008234362012540181	0.03574629682745844
MMS906	0.19028246750451422	-0.7921913622039076	0.06192656529805868
MMS907	0.24608510044338308	-0.4322343137321087	0.06999379401169936
MMS919	0.24765123687571985	0.07701827830661812	0.038887942037008454
MM943M	2.0815421436843513	0.897699329915357	-1.4218680575176328
MM941M	1.526832621932208	1.7082294646413279	-0.5078125683436538
MM936M	1.217485081895283	1.0692707670652035	-1.0714473021913329
MMS706	-0.595314907366579	-0.26069096634986516	0.1654298082306963
MMS707	-1.416426084993991	-0.10661536879234551	0.4137441153157842
MMS704	0.6355215514736783	-0.39376914357942683	-0.20189366032085748
MMS705	0.010025381434223346	0.713739454523319	0.023236020516045
MMS702	0.9806852196522725	-0.48573922540598463	0.6290597488151812
MMS703	-1.5229505074264913	0.5737749883574056	-0.6933208937783737
MMS700	0.8929475556606324	0.251810368206002	0.22152484067027522
MMS701	0.8829643532840032	-0.7176048413531748	0.4319157458004083
MMS708	1.2481814539592209	-0.8173009202631051	0.09001960950955148
MMS709	0.3696453084247756	0.2676112227615229	0.20906520657387595
MMS917	-0.28619833243529547	2.1916423045129583	1.2708843484769987
MMS939	-0.08452809272502335	-0.3287133404778494	-0.2581582573577594
MMS938	-0.6108532924196237	-0.3073742813073488	-0.38219206138607165
MMS916	-0.07012384833090064	-0.02791196526694193	-0.05428629851936969
MMS931	-0.18489599762709055	-0.26619254604214854	-0.6685595401443529
MMS915	-0.21011012923010425	0.7770267644538678	-0.30540830769146876
MMS932	-0.17148034805275045	-0.611225110503516	-0.3765642264927186
MMS918	1.5152045777667802	1.6279952315227932	1.1486655167518172
MMS914	-0.36993576698470126	-0.24728605142702323	0.8504322386689558
MM9362CU	0.18907164875081647	-0.4127073230203216	-0.7273043032299723
MMS913	-0.05485060809002671	-0.08854615900305088	-0.023267658059239246
MMS890	-0.109755657695644	-0.44419288402314006	-0.2339014591878153
MMS891	-0.12555443448172646	-0.3482193530851054	-0.46606488657113887
MMS924	0.8660629274079378	-0.7104373391846917	0.7540406371311644
MMS912	0.2630677277274753	-0.12885914028880108	0.02505080857284615

eigvals	1	1	1
% variation explained	1	1	1	1
