pc vector number	NMDS1	NMDS2	NMDS3
MMS930	-0.5034404369962827	-0.5623748123912989	-0.39643310619905425
MMS925	-0.02261226451974962	-0.5213775292473268	0.5117605760542075
MMS911	-0.5969016371281649	0.9009169950733744	-0.27031150504114154
MMS920	0.14673758312780735	-0.025226910087117256	0.5909352346721818
MM933M	1.656851067102682	-0.8132606004682409	-1.8792954955548222
MMS922	0.07215047882322298	-0.4601594107058423	0.39938867693664065
MMS910	-0.9392485926707446	0.8446984346715432	-0.7722449998854957
MMS923	-0.007794250283383132	-0.20238088657399422	0.5569936406880096
MMS715	-0.6982659642670032	1.2567315651887336	0.25326497033313905
MMS714	0.10902139859719807	0.7796059470930616	0.45984472757125
MMS717	-0.23319782998276362	-0.3522705202568309	0.09003039975871789
MMS716	-0.4540796153738479	0.18763115558149923	0.13040065860086714
MMS711	0.2887134135662711	-0.3944940344446933	0.5787216870200771
MMS710	0.4333787033505026	-0.29293953890435337	0.4847956973938639
MMS713	0.043682075530469634	-0.06669563563988096	0.8306140025895812
MMS712	-1.008586504947483	1.1703224642834396	-0.7564230483235955
MMS944	-0.27670228064015834	-0.5360836733308103	-0.29828242490969864
MMS921	0.042918731012817124	-0.2288905218263626	0.7830591182207697
MMS942	-0.7589971419951873	-0.7873484512477193	-0.450002339161204
MMS943	-0.5112314843019644	0.46442179038855497	-1.0631439108935656
MMS908	-0.26508361138477754	-0.5897534321505911	0.00013946356706192806
MMS909	-0.9117173480677988	0.3899118648146647	-0.5568812791289626
MMS928	0.041124077399430095	-0.5825344221308374	-0.14256139992151232
MMS929	-0.3190748658855085	-0.417569468838271	-0.08505259689720282
MMS900	-0.5725739646511182	-0.3182969149137537	0.8053780267982596
MMS901	-1.036468419405289	0.39953874979126364	0.38754640313967437
MMS902	-0.7735958240981438	0.3407226425730012	-0.1000159457876514
MMS903	-0.41520436068061	0.01691433844426995	-0.11249253842410706
MMS904	-0.3772896447012988	-0.0998260374257045	-0.17058956354022442
MMS905	-0.22497193905575294	0.0755486184587203	0.027454424261881317
MMS906	-0.1784475770841016	-0.781886504459393	0.1689957253672789
MMS907	-0.01887120863848171	-0.3872356477297746	0.1437702613674494
MMS919	0.0874955875840866	-0.0379468267031715	0.1340014383088496
MM943M	2.796309055983868	-0.4206913660680144	-0.93086227936844
MM941M	2.440710979225467	1.2163441564193818	-0.7119454084266218
MM936M	1.95823777321035	0.7853697471250377	-1.3682219990933546
MMS706	-0.6886104565593504	-0.010107061329610074	0.11648344971695038
MMS707	-1.016273957045942	0.6570185772181394	0.13761084623770428
MMS704	0.5186231831505497	-0.1323858324294959	-0.289105506623643
MMS705	0.20693107561483753	0.6131984642376447	-0.007911896669576859
MMS702	0.4503390234622206	-0.7432614732152818	0.6814810310975269
MMS703	-1.165715062350595	0.8937660776192493	-0.9333274945108018
MMS700	0.6729925061075077	-0.05395871030407273	0.4377430343782661
MMS701	0.3826575868220139	-0.9268615887526752	0.4984496298411382
MMS708	0.9442900527285361	-1.0552752277497741	0.7294607895833386
MMS709	0.3599129379301502	0.008825252171578618	0.24339016945123296
MMS917	0.6977431920734881	2.7515372760372596	0.9569163137518159
MMS939	-0.2985637939476598	-0.5621825645179441	-0.21801551546669048
MMS938	-0.7618112592890945	-0.08707669558817464	-0.3997981456981525
MMS916	-0.15600309427379128	-0.04581722694532287	0.0759273720739274
MMS931	-0.257240332533676	-0.3227482364655582	-0.6327461562561622
MMS915	-0.047979259716471954	0.7311977231328219	-0.337219473486371
MMS932	-0.34157225080010867	-0.5147096123599331	-0.4397713817362859
MMS918	1.9377050369990547	1.2461046259010236	1.7662227286702936
MMS914	-0.3015784206818835	0.31015766788378557	0.5288657341556934
MM9362CU	0.08101682934264447	-0.6060435436873932	-0.6521472037076084
MMS913	-0.10551673998503897	-0.12803609025466883	-0.06399545415546476
MMS890	-0.3005755801862875	-0.4359964790106289	-0.1927104792870514
MMS891	-0.17273577957333197	-0.25483337643838966	-0.24498692396517954
MMS924	0.20273181252213943	-1.003319709390002	0.9151091704560962
MMS912	0.1462585924355318	-0.27862756012514084	0.051740070055898334

eigvals	1	1	1
% variation explained	1	1	1	1
