samples	NMDS1	NMDS2	NMDS3
MMS930	0.1550363077249558	0.36958757884932214	-0.34189769848905216
MMS925	0.3062331916916907	-0.5257001993773099	-0.4072858661847669
MMS911	-0.8200824465834949	0.5190754056310676	0.40101657960737935
MMS920	0.26235681945372125	-0.4013944561568514	0.40328758143819615
MM933M	-1.1653550728064468	-0.9285252201948833	-0.8460815371576644
MMS922	0.8238430226490373	-0.39371511335580023	0.08960831083297593
MMS910	-1.0191547024322023	0.7698186735748006	0.05551433032159311
MMS923	0.4846672796220842	-0.5800818058576444	0.531919108840152
MMS715	-0.7084082516776079	0.5312289222415544	0.8540531560001715
MMS714	-0.13382023927521478	-0.12160785708834428	0.9719965490735979
MMS717	0.1664860965230927	0.02946201649651039	-0.020618652507859672
MMS716	1.165539472628607	1.7735101989588404	0.9949785639892575
MMS711	0.5189786710137634	-0.7962002588441931	-0.2682615065941614
MMS710	0.4637066450891801	-0.853251234865213	0.13512903864172787
MMS713	0.9868071625748404	-0.8213427725082405	-0.34165131057374404
MMS712	-1.5479604806374887	0.9653962854191972	-0.008976354384448326
MMS944	-0.049301384801068826	0.1271918203709904	-0.07037176390625786
MMS921	2.210216583917999	-1.4775175901112323	0.29924451467493834
MMS942	-0.29871665180126794	0.07334592165574187	-0.2952757960307914
MMS943	-1.1290325996924484	0.5184626581860201	-0.535356185554635
MMS908	0.4740138001278208	0.2769456606910595	-0.012983451717309727
MMS909	-0.7438189416040352	0.7993274804671403	-0.2150126725581495
MMS928	0.0471248057224357	-0.08594917711642443	-0.3376882165644451
MMS929	0.3429410797645436	0.35808614335106015	-0.6277058107569806
MMS900	-0.16732004446796578	-0.39750379883472925	-0.9915212198301322
MMS901	-0.31023716984646316	0.5477362933314814	0.42691916634204824
MMS902	-0.12953039446203576	1.2178581860913609	0.4180566099520211
MMS903	0.34673811682485384	0.899683685371003	-0.4026248730979988
MMS904	0.3017755156302365	0.6550025841391962	-0.15211844097024735
MMS905	1.4604258695424142	1.5186377206697226	-0.19297641985674865
MMS906	0.259821173920162	-0.09049432869871052	-0.4895524512904735
MMS907	0.3221394253376432	-0.10815600595218221	-0.2049271814333553
MMS919	0.2516706539385532	-0.11388931913634671	0.17583295303130284
MM943M	-1.1381764900090856	-1.188632648759228	-0.33229272131054854
MM941M	-1.3419994164733515	-1.2477311724596354	0.2126157479319873
MM936M	-0.8403204590702512	-0.7271194233370512	0.1086539406972568
MMS706	-0.07058777789116494	1.1262574870798927	-0.5919432697769359
MMS707	-0.48478010306679536	1.066532100314543	0.43794253865090116
MMS704	-0.2197548183473802	-0.2407983195564016	-0.13040114188880128
MMS705	-0.31203504428797374	-0.08324117793771588	0.43074717106203986
MMS702	-0.008108379796968221	-0.7847543896323582	-0.23843604233738294
MMS703	-1.020055407321918	0.5951533423160228	0.005261826482831466
MMS700	0.088240467576371	-0.7907440075301659	0.3552421999006721
MMS701	0.48056987163343345	-0.9193459400620115	-0.7025755529937202
MMS708	-0.25217724538494074	-0.5561029879118936	-0.17667219387456276
MMS709	2.3346981033629217	0.02609083632760345	0.9709348327800902
MMS917	-1.0361310209430206	-0.4020214770059374	1.5086819692642728
MMS939	0.020667661392306386	0.07269710919841242	-0.06784824490334679
MMS938	-0.24304472284518883	0.3003498160174205	-0.03965731119336076
MMS916	0.13290229568032494	0.10706292082027327	0.14123612530906848
MMS931	-0.2000803121317253	0.3174459592758812	-0.38943219368891663
MMS915	-0.573908189521948	0.1366966774741686	0.4496385249568275
MMS932	-0.04537466578055198	0.23597828964815226	-0.2973526480346496
MMS918	-0.913512380933468	-1.6352115279376973	1.2932030227974765
MMS914	0.5514175392572807	0.24052899139405454	0.8863508653046875
MM9362CU	0.3025533184981561	0.27675073079139484	-1.4053116344743326
MMS913	0.5925007895062947	0.27693139826942875	-0.02744470748505135
MMS890	0.3021516881241338	0.28818343251364265	-0.26992076267313386
MMS891	0.06038730869646965	0.22719646246569278	-0.39599608021558796
MMS924	0.12425040256363137	-0.7954778003768685	-0.25219047029645386
MMS912	0.5819236739045144	-0.17770277879758334	-0.47770284327746587

stress	0.1358004289059263	0	0
% variation explained	0	0	0	
