samples	NMDS1	NMDS2	NMDS3
MMS930	-0.47129174324122103	-0.14510928242120139	0.5443094224195316
MMS925	-0.05046348834109732	0.652485159776069	0.12938414599530634
MMS911	0.0971039486317712	-1.0186390529242855	-0.2891451305949414
MMS920	0.09286655658765143	0.4091810468079688	-0.31476752241963346
MM933M	1.5440414651436913	0.08844822313443051	1.382679670904062
MMS922	-0.5676768056889947	0.7629897284322236	0.08534510220802399
MMS910	0.19267946979690323	-1.3182983396396113	0.14198339385009184
MMS923	-0.22235921331441202	0.6229013458307339	-0.4791160477227573
MMS715	0.26099864627658537	-1.013789174388544	-0.7964239520351452
MMS714	0.31939570266066153	-0.2282094068763059	-0.8441973558116009
MMS717	-0.17320888636205373	0.07301356444818771	0.0455136147957053
MMS716	-1.111602953317652	-0.27703154043325906	-0.6267870740826068
MMS711	-0.06331808303439632	0.9081132713319725	0.025238013276175576
MMS710	-0.04137276230894451	0.9163923687898485	-0.2250823821041354
MMS713	-0.2772655215291753	1.026061034342539	-0.5630074918522974
MMS712	-0.06489166473859062	-1.6873446777291987	0.06516981242938201
MMS944	-0.052691230181328604	-0.08174809878410272	0.22471607813052455
MMS921	-0.6319696463299228	1.24960316221117	-0.6958720208966042
MMS942	0.2569796408400148	-0.29130627659524216	0.6023504174905495
MMS943	-0.1627415445876895	-1.056768798118103	0.6733985694926448
MMS908	-0.6008143286330366	0.21344736960234742	0.17571014115107197
MMS909	-0.18234312830776417	-1.0302888817758742	0.16277536721794733
MMS928	-0.014035576560246147	0.13275065785944884	0.4030932448272636
MMS929	-0.726861467440909	0.1593885431222002	0.49852418302318047
MMS900	-0.05758431702291673	0.1971233849431666	-0.8467776730141184
MMS901	0.08896215348945366	-0.7224506411887477	-0.4799091592481112
MMS902	-0.8446740764025633	-0.7650813478470097	-0.20970234098936993
MMS903	-0.9336381495769012	-0.32548909899472	0.17145194486368645
MMS904	-0.7207978968964759	-0.1872812465466816	0.09943970254156083
MMS905	-0.8574855749123809	-0.14471699975071117	-0.3588297275898101
MMS906	-0.1761406616895127	0.3352453993925742	0.49129934041714474
MMS907	-0.2225127270113917	0.3579159920264844	0.14902030304885192
MMS919	-0.14133464880846025	0.2135901690057736	-0.22735127540361758
MM943M	1.9428918471184211	0.4662599701256086	0.932428549497848
MM941M	2.3026978674734324	0.18408456163855333	0.2220412276920823
MM936M	1.7801753911393035	-0.05269147554035103	0.5072179012837443
MMS706	-1.0588878538157933	-0.4474062505451782	-0.04015870618441309
MMS707	-0.366995763526135	-0.9887664436471866	-0.5258958346294897
MMS704	0.5798387593965695	-0.01722263418739367	0.18871113799568687
MMS705	0.4611043061983749	-0.2514642058185184	-0.28102148025900986
MMS702	0.5406214448245141	0.7244550943502723	0.2113234522225975
MMS703	0.43659528972132366	-1.2800186739614632	0.18632863420370407
MMS700	0.36845213215455774	0.5253784389061756	-0.44664374444122773
MMS701	-0.17082379685634252	1.0996826792059788	0.4264805520253779
MMS708	0.8943390688504232	0.46906800105447516	0.21829419670762154
MMS709	-1.1434241309384854	0.9230546782360428	-0.4171529454441206
MMS917	1.6215473330492451	-0.7501735340653868	-1.4962803001289806
MMS939	0.0061030526650558675	-0.10048063396933933	0.2735867684032249
MMS938	-0.0038243956107655254	-0.44857084710491335	0.14814593914224164
MMS916	-0.2235336602498788	-0.007951910254999993	-0.0626080292973151
MMS931	-0.18166848996635288	-0.2836931221653506	0.559278767353774
MMS915	0.3510523165842264	-0.5633480282565388	-0.20692676125662837
MMS932	-0.1965334945600998	-0.18610950793997744	0.4491524679237748
MMS918	1.7469870657703153	0.8319519748322781	-1.6648876189528066
MMS914	-0.7382574566640296	0.22099556422176583	-0.5771453105625972
MM9362CU	-0.9343551882466371	0.3539272345914206	1.1671001279961937
MMS913	-0.7309059062509772	0.19451944607896735	0.01263681656680553
MMS890	-0.5243970896133217	0.051556066556920646	0.3908442385413175
MMS891	-0.2723217736251909	-0.10134830870536651	0.18482761556072566
MMS924	0.45170382402587367	0.8693342777018596	0.28518099568732214
MMS912	-0.4221321862363234	0.5398800316181033	0.2407080280345916

stress	0.12685271974103351	0	0
% variation explained	0	0	0	
