#OTU ID	MM933M	MM936M	MM941M	MM943M	MM9362CU	MMS700	MMS701	MMS702	MMS703	MMS704	MMS705	MMS706	MMS707	MMS708	MMS709	MMS710	MMS711	MMS712	MMS713	MMS714	MMS715	MMS716	MMS717	MMS890	MMS891	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS908	MMS909	MMS910	MMS911	MMS912	MMS913	MMS914	MMS915	MMS916	MMS917	MMS918	MMS919	MMS920	MMS921	MMS922	MMS923	MMS924	MMS925	MMS928	MMS929	MMS930	MMS931	MMS932	MMS938	MMS939	MMS942	MMS943	MMS944	taxonomy
denovo1923	7.0044	0.0	0.0	0.0	4.0474	2.5041	0.0	2.7902	0.0	2.7472	0.0	2.6124	2.1967	2.9726	3.1321	0.0	2.7938	3.0717	0.0	4.3385	0.0	2.4326	3.1197	4.0853	3.9601	0.0	0.0	3.5895	2.0444	3.7004	4.6164	3.4994	3.5408	0.0	0.0	2.5322	2.3219	3.9197	3.6432	4.2219	2.8273	2.0342	0.0	0.0	2.3988	2.2551	4.6234	3.8962	3.5502	2.7902	3.1597	2.5265	4.1852	4.7535	2.2901	3.3956	0.0	5.8129	6.2544	5.4378	4.4201	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__Archaeospora; s__sp
denovo435	0.0	0.0	4.4015	0.0	2.2879	3.371	0.0	3.6819	2.579	4.1813	3.8118	1.8309	0.0	0.0	2.2879	4.7458	5.7659	0.0	2.0513	4.0343	2.1967	2.4326	4.3385	3.4039	3.4207	0.0	0.0	0.0	2.0444	4.0875	3.8525	5.7155	3.5408	7.2324	0.0	0.0	0.0	4.6857	3.6432	0.0	3.3429	4.6875	3.4594	0.0	2.3988	5.1277	3.477	5.2138	0.0	2.7902	5.0332	3.9341	1.9506	6.1347	0.0	5.7383	5.5702	4.2783	2.9726	2.9097	4.4201	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales; f__Paraglomeraceae; g__Paraglomus; s__laccatum
denovo4676	6.8536	6.9636	6.6678	6.6692	5.168	6.6313	4.4811	5.1899	4.9472	8.4728	9.5734	12.729	7.3424	11.762	6.4656	4.7458	5.5993	5.6191	10.904	12.418	5.3372	4.4281	4.8034	7.8115	5.316	11.945	7.3396	7.5595	10.396	6.0224	12.032	7.5829	5.9374	13.158	4.4542	5.1082	6.5392	5.3172	8.3088	5.2678	5.2321	4.6875	11.13	7.8664	5.3024	6.2569	4.6234	4.7004	5.8615	4.2289	5.0332	7.8724	6.1245	4.195	5.0058	9.5015	4.2931	5.8129	5.6131	11.811	6.5885	No blast hit
denovo314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9389	0.0	0.0	3.067	0.0	0.0	0.0	0.0	3.0301	5.2348	0.0	0.0	0.0	4.9682	4.9197	0.0	0.0	2.3219	0.0	0.0	5.1883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7219	2.8464	0.0	6.038	2.3988	0.0	1.4272	7.6106	6.7083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5702	3.7301	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__sp
denovo486745	3.7802	4.8861	0.0	4.0447	6.4008	6.0536	5.9619	6.3896	0.0	5.5458	3.2773	5.5557	4.7054	4.8277	5.9804	4.9317	4.9389	5.1015	5.1534	3.6483	3.9389	5.9335	5.4366	6.0894	6.616	4.9682	4.9197	5.2678	5.8392	6.1085	5.0415	5.8505	4.4775	6.0745	4.1486	4.3319	3.7004	5.3172	6.0681	4.3832	2.8273	5.2537	0.0	1.9786	5.5852	4.963	5.1888	5.5916	5.9475	5.5951	5.8216	4.8861	6.0008	6.221	6.0693	5.6034	5.2559	5.8129	5.3956	4.3606	6.6871	No blast hit
denovo141433	6.6853	7.1685	6.9284	6.4308	5.7395	3.371	3.8413	4.9348	3.4529	5.3576	4.201	4.0308	4.8911	5.6131	5.4502	5.2441	6.342	4.5374	4.7091	5.1544	5.2033	4.6124	4.0343	4.895	4.9129	4.9682	4.6662	5.0922	6.2479	5.8329	4.8861	4.4342	5.4447	5.0957	4.7062	4.6394	4.858	5.1833	5.4628	4.9957	4.27	3.7424	4.0	1.9786	4.7356	4.0085	4.8087	4.5374	4.4873	5.1899	5.1983	4.6328	5.7929	4.195	5.6888	4.8861	3.9024	5.9623	5.6131	3.8104	5.7924	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales; f__Paraglomeraceae; g__Paraglomus; s__sp
denovo1403	6.2749	13.921	7.8404	11.105	6.2247	5.5768	5.0444	5.4067	6.7873	5.8615	3.8118	4.586	5.4598	5.1394	4.8168	6.4241	5.0721	6.7603	5.02	4.5896	5.0556	4.9906	5.7773	5.1757	8.167	5.945	6.2128	5.0922	5.9159	5.9307	5.3094	5.7155	5.9374	6.6523	5.4209	7.7885	4.3923	6.1633	7.0573	4.5283	4.8298	4.9982	7.0875	1.9786	4.7356	5.7503	4.4108	4.3536	5.6724	3.6819	5.4806	5.7383	6.2384	7.2528	5.7938	4.3254	4.2931	7.5318	7.6899	4.573	6.3686	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Whitfield_type_7
denovo1139800	0.0	5.2889	0.0	3.1296	1.5567	6.0536	1.8745	0.0	0.0	7.2247	0.0	1.8309	0.0	3.8776	7.5649	2.2296	3.9852	0.0	2.0513	0.0	0.0	0.0	3.1197	0.0	0.0	4.1566	2.5553	0.0	2.0444	3.1699	1.4226	0.0	2.1846	0.0	0.0	2.5322	0.0	3.9197	0.0	1.6815	0.0	0.0	6.2479	2.7829	5.137	0.0	2.1304	0.0	3.9341	2.7902	3.1597	7.3051	1.9506	0.0	0.0	0.0	0.0	2.8349	0.0	0.0	0.0	No blast hit
denovo27	0.0	0.0	0.0	0.0	1.5567	0.0	0.0	0.0	5.1629	4.1813	0.0	4.986	6.253	0.0	4.0474	0.0	5.0721	12.373	10.224	5.4366	6.3826	0.0	3.1197	0.0	4.3517	0.0	2.5553	11.288	5.3794	2.3219	2.1248	2.6217	4.2273	2.3644	7.0302	6.5221	6.2668	4.6857	8.2956	10.247	5.1101	2.8464	7.4998	1.9786	0.0	0.0	2.9555	6.5766	0.0	4.2289	0.0	4.8861	3.2624	0.0	0.0	0.0	0.0	2.8349	5.1394	8.5405	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
denovo25	0.0	3.3956	7.2158	3.1296	9.5101	8.6873	9.0028	9.1373	7.5703	7.5666	7.3769	8.5386	7.1373	7.0349	7.4252	7.2852	8.6708	7.7287	7.9806	6.9551	5.5727	8.5672	9.0856	9.9013	9.1398	6.7648	6.9981	8.6617	9.2085	10.235	8.7747	9.4233	8.7953	9.8094	7.204	7.3547	6.2668	8.6449	10.515	7.5763	8.1053	8.7527	0.0	0.0	8.3478	7.6511	8.0004	8.9363	8.7103	8.591	7.7501	9.3623	10.142	10.295	9.3461	8.9958	8.2447	8.8297	8.9082	7.2054	9.5362	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Sanchez_Castro12b_GLO12
